epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,80.1612,0.59596,1.46432,0.8708,0.96551,0.97338,0.9928,0.83926,0.68951,0.49051,0.86139,0.000206044,0.000206044,0.000206044
2,154.675,0.40583,0.46131,0.80852,0.99351,0.9886,0.99468,0.84446,0.68448,0.38102,0.86527,0.000410275,0.000410275,0.000410275
3,229.468,0.39142,0.38017,0.80431,0.9903,0.99418,0.99441,0.86198,0.60364,0.33579,0.85097,0.000610381,0.000610381,0.000610381
4,304.238,0.36618,0.34124,0.80122,0.99564,0.99392,0.99493,0.8699,0.57546,0.31282,0.84096,0.000606437,0.000606437,0.000606437
5,378.293,0.35296,0.31507,0.79852,0.99368,0.99293,0.99476,0.87447,0.56838,0.30404,0.84279,0.00060025,0.00060025,0.00060025
6,452.829,0.36355,0.31185,0.79958,0.9975,0.99806,0.99499,0.86715,0.59651,0.29833,0.84584,0.000594062,0.000594062,0.000594062
7,527.18,0.33554,0.28577,0.7955,0.99839,0.99739,0.99481,0.86725,0.59757,0.29776,0.85218,0.000587875,0.000587875,0.000587875
8,602.373,0.33709,0.28463,0.79551,0.99825,0.99745,0.995,0.88142,0.55193,0.27901,0.83714,0.000581687,0.000581687,0.000581687
9,676.896,0.35281,0.28716,0.79732,0.99712,0.99716,0.99485,0.8802,0.54968,0.27985,0.84069,0.0005755,0.0005755,0.0005755
10,751.516,0.32604,0.26703,0.79309,0.9975,0.99777,0.99487,0.8771,0.56244,0.28091,0.84337,0.000569313,0.000569313,0.000569313
11,827.032,0.31741,0.26329,0.79287,0.99782,0.99775,0.9946,0.86141,0.62029,0.28214,0.85829,0.000563125,0.000563125,0.000563125
12,900.906,0.31994,0.25633,0.79464,0.99795,0.99766,0.995,0.84983,0.67265,0.2882,0.86871,0.000556938,0.000556938,0.000556938
13,975.218,0.32126,0.25244,0.79227,0.99821,0.99811,0.99496,0.86566,0.61245,0.28366,0.85897,0.00055075,0.00055075,0.00055075
14,1049.77,0.30697,0.24551,0.79071,0.99726,0.99753,0.99499,0.87875,0.5578,0.26428,0.84106,0.000544563,0.000544563,0.000544563
15,1123.72,0.30892,0.24552,0.79107,0.99676,0.99795,0.995,0.87908,0.56029,0.26302,0.84765,0.000538375,0.000538375,0.000538375
16,1197.66,0.30728,0.24372,0.7899,0.99807,0.99867,0.99498,0.8767,0.57546,0.2705,0.84522,0.000532187,0.000532187,0.000532187
