epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,103.254,0.95282,3.94873,0.95318,0.05375,0.84256,0.19045,0.12968,0.85379,inf,0.84621,0.0001375,0.0001375,0.0001375
2,159.815,0.73744,2.12191,0.87386,0.05978,0.97176,0.39389,0.30832,0.80603,inf,0.85975,0.000278466,0.000278466,0.000278466
3,217.335,0.60478,1.26366,0.84402,0.07023,0.99441,0.67227,0.54077,0.71304,inf,0.84961,0.000416585,0.000416585,0.000416585
4,272.134,0.55129,0.9609,0.83124,0.80466,0.58937,0.80119,0.68915,0.56416,1.76176,0.83209,0.000551858,0.000551858,0.000551858
5,328.022,0.52195,0.79543,0.82715,0.92775,0.88395,0.96517,0.80737,0.6454,0.9988,0.8493,0.00060025,0.00060025,0.00060025
6,387.802,0.50164,0.69966,0.82223,0.9451,0.92452,0.97975,0.81614,0.64027,0.65727,0.84092,0.000594062,0.000594062,0.000594062
7,443.558,0.5023,0.64377,0.82069,0.96252,0.95641,0.98884,0.82741,0.65204,0.56872,0.84678,0.000587875,0.000587875,0.000587875
8,498.139,0.47623,0.59567,0.81884,0.96554,0.95573,0.98927,0.84551,0.58725,0.47297,0.83782,0.000581687,0.000581687,0.000581687
9,553.468,0.4752,0.57209,0.8184,0.97827,0.97052,0.99252,0.8502,0.61333,0.44585,0.83916,0.0005755,0.0005755,0.0005755
10,612.233,0.46219,0.54558,0.81653,0.983,0.97817,0.99362,0.86604,0.57527,0.42894,0.83026,0.000569313,0.000569313,0.000569313
11,668.066,0.44041,0.52189,0.81293,0.98134,0.97959,0.9933,0.84828,0.61081,0.41384,0.84127,0.000563125,0.000563125,0.000563125
12,724.046,0.43306,0.49984,0.8118,0.98542,0.98482,0.99425,0.84999,0.6044,0.40502,0.83878,0.000556938,0.000556938,0.000556938
13,779.918,0.43814,0.48762,0.81112,0.98601,0.98534,0.99421,0.8499,0.61865,0.40057,0.84241,0.00055075,0.00055075,0.00055075
14,835.499,0.43193,0.47282,0.80995,0.99105,0.98757,0.9945,0.85381,0.61052,0.38556,0.8449,0.000544563,0.000544563,0.000544563
15,891.66,0.43391,0.46467,0.81027,0.98413,0.98766,0.9943,0.85847,0.59585,0.38434,0.84088,0.000538375,0.000538375,0.000538375
16,950.36,0.42635,0.45064,0.80769,0.98925,0.98245,0.99438,0.84124,0.64838,0.39381,0.84996,0.000532187,0.000532187,0.000532187
17,1003.99,0.42144,0.43882,0.8062,0.98103,0.97939,0.99375,0.86129,0.58482,0.39308,0.83581,0.000526,0.000526,0.000526
18,1061.34,0.41763,0.44335,0.80806,0.98201,0.9877,0.99476,0.86455,0.56804,0.36593,0.83344,0.000519812,0.000519812,0.000519812
19,1116.64,0.42313,0.42919,0.80887,0.99496,0.98822,0.99487,0.85769,0.6077,0.35756,0.84322,0.000513625,0.000513625,0.000513625
20,1171.74,0.42448,0.42216,0.80653,0.994,0.99171,0.9948,0.84103,0.65542,0.37932,0.84902,0.000507438,0.000507438,0.000507438
21,1228.38,0.41252,0.40238,0.80448,0.99438,0.99316,0.99487,0.84669,0.6457,0.3597,0.84714,0.00050125,0.00050125,0.00050125
22,1286.73,0.41441,0.4089,0.80589,0.99541,0.99122,0.99479,0.85161,0.62648,0.35802,0.84695,0.000495063,0.000495063,0.000495063
23,1342.05,0.40789,0.3961,0.80564,0.99522,0.99168,0.99493,0.86093,0.58622,0.34606,0.83365,0.000488875,0.000488875,0.000488875
24,1394.38,0.40308,0.38627,0.80308,0.99207,0.99474,0.99475,0.85774,0.60741,0.34578,0.84238,0.000482687,0.000482687,0.000482687
25,1451.05,0.40759,0.38833,0.80496,0.99473,0.99336,0.99446,0.84925,0.64222,0.34552,0.84782,0.0004765,0.0004765,0.0004765
26,1510.7,0.40055,0.37588,0.80281,0.99165,0.99222,0.99438,0.83473,0.68858,0.35588,0.86085,0.000470312,0.000470312,0.000470312
27,1565.13,0.40159,0.37933,0.80388,0.99348,0.99372,0.99485,0.85629,0.62755,0.3414,0.84614,0.000464125,0.000464125,0.000464125
28,1620.47,0.41636,0.37629,0.80569,0.99603,0.99403,0.99465,0.84795,0.65649,0.34642,0.8565,0.000457938,0.000457938,0.000457938
29,1677.75,0.39478,0.36278,0.80201,0.99336,0.99398,0.99477,0.8577,0.6171,0.33904,0.84103,0.00045175,0.00045175,0.00045175
30,1737.38,0.39789,0.36712,0.80327,0.99411,0.99469,0.9949,0.85804,0.60377,0.32987,0.84263,0.000445562,0.000445562,0.000445562
31,1790.39,0.38577,0.35464,0.80096,0.99496,0.99461,0.99492,0.85379,0.63326,0.33877,0.84841,0.000439375,0.000439375,0.000439375
32,1848.73,0.39064,0.35662,0.8018,0.99447,0.99074,0.9947,0.84992,0.64289,0.34119,0.85123,0.000433187,0.000433187,0.000433187
33,1904.11,0.39322,0.35256,0.80258,0.99374,0.99475,0.99457,0.87588,0.56177,0.31703,0.83309,0.000427,0.000427,0.000427
34,1958.73,0.38411,0.34506,0.80048,0.99601,0.99353,0.99449,0.85931,0.62114,0.32794,0.845,0.000420812,0.000420812,0.000420812
35,2016.67,0.38385,0.342,0.79955,0.99665,0.99315,0.99463,0.83806,0.6877,0.34442,0.86125,0.000414625,0.000414625,0.000414625
36,2075.27,0.38241,0.33854,0.80049,0.99596,0.99333,0.99481,0.85737,0.61516,0.32424,0.84421,0.000408438,0.000408438,0.000408438
37,2129.67,0.38019,0.33298,0.80041,0.99601,0.99364,0.99484,0.86155,0.59787,0.31723,0.84182,0.00040225,0.00040225,0.00040225
38,2186.67,0.38473,0.33849,0.80085,0.99381,0.99005,0.99425,0.85847,0.61365,0.3313,0.84517,0.000396063,0.000396063,0.000396063
39,2242.19,0.38317,0.33291,0.79977,0.99509,0.99457,0.99483,0.87411,0.56334,0.30442,0.83395,0.000389875,0.000389875,0.000389875
40,2300.6,0.38314,0.33202,0.80093,0.99274,0.99658,0.99485,0.84442,0.65947,0.32694,0.85232,0.000383688,0.000383688,0.000383688
41,2354.48,0.37741,0.32718,0.80025,0.99691,0.99395,0.99477,0.86041,0.60464,0.3116,0.84247,0.0003775,0.0003775,0.0003775
42,2412.75,0.37431,0.32346,0.79989,0.9954,0.99587,0.99489,0.86434,0.60452,0.3138,0.84427,0.000371313,0.000371313,0.000371313
43,2468.07,0.37819,0.32428,0.79945,0.99509,0.99543,0.99483,0.8568,0.62734,0.31768,0.85089,0.000365125,0.000365125,0.000365125
44,2523.34,0.37611,0.32143,0.79896,0.995,0.99374,0.99455,0.86342,0.60147,0.31165,0.84092,0.000358938,0.000358938,0.000358938
45,2580.04,0.3744,0.31982,0.79954,0.99628,0.99391,0.99491,0.86236,0.60474,0.31008,0.8421,0.00035275,0.00035275,0.00035275
46,2638.32,0.37436,0.31879,0.79878,0.99563,0.99589,0.99481,0.85213,0.63995,0.31727,0.84914,0.000346563,0.000346563,0.000346563
47,2691.73,0.37326,0.31721,0.79904,0.99761,0.99519,0.99481,0.85948,0.61808,0.31187,0.84411,0.000340375,0.000340375,0.000340375
48,2749.9,0.37707,0.31826,0.79716,0.99506,0.99444,0.99489,0.87673,0.54779,0.29597,0.83123,0.000334188,0.000334188,0.000334188
49,2804,0.36886,0.31134,0.79867,0.9964,0.99559,0.99463,0.85516,0.6264,0.31292,0.84608,0.000328,0.000328,0.000328
50,2863.02,0.36898,0.31017,0.79989,0.99458,0.99295,0.9949,0.8562,0.62993,0.31383,0.85061,0.000321812,0.000321812,0.000321812
51,2917.08,0.37154,0.31047,0.79783,0.99636,0.99453,0.9945,0.85763,0.63152,0.30754,0.84865,0.000315625,0.000315625,0.000315625
52,2978.43,0.37615,0.31584,0.79919,0.99699,0.994,0.99492,0.86391,0.60491,0.30158,0.84499,0.000309437,0.000309437,0.000309437
53,3034.35,0.37092,0.30809,0.79672,0.99626,0.99546,0.99453,0.86487,0.59693,0.30002,0.84202,0.00030325,0.00030325,0.00030325
54,3091.32,0.36581,0.30188,0.79745,0.99674,0.99432,0.99469,0.86951,0.59776,0.29735,0.84178,0.000297063,0.000297063,0.000297063
55,3145.75,0.36656,0.30446,0.79821,0.99523,0.99602,0.99489,0.8639,0.61219,0.30988,0.84602,0.000290875,0.000290875,0.000290875
56,3205.18,0.36881,0.30674,0.79723,0.9949,0.99612,0.99496,0.87263,0.5847,0.29421,0.83922,0.000284688,0.000284688,0.000284688
57,3258.31,0.36445,0.30242,0.79718,0.99453,0.99534,0.99492,0.86316,0.61003,0.30462,0.84359,0.0002785,0.0002785,0.0002785
58,3312.81,0.35896,0.29609,0.79653,0.99433,0.99524,0.9945,0.87126,0.57481,0.29308,0.83675,0.000272313,0.000272313,0.000272313
59,3371.28,0.35926,0.29697,0.79634,0.9941,0.99589,0.99471,0.8628,0.61366,0.2977,0.84488,0.000266125,0.000266125,0.000266125
60,3427.27,0.35561,0.29318,0.79522,0.99697,0.99549,0.99483,0.86269,0.61204,0.29863,0.84352,0.000259938,0.000259938,0.000259938
61,3482.37,0.35981,0.2948,0.79746,0.99459,0.99684,0.99464,0.85738,0.62671,0.30261,0.84884,0.00025375,0.00025375,0.00025375
62,3538.78,0.36568,0.29943,0.79792,0.99591,0.99417,0.99487,0.84922,0.65343,0.30978,0.85432,0.000247563,0.000247563,0.000247563
63,3598.29,0.35779,0.29488,0.79636,0.9957,0.99695,0.99496,0.85625,0.63731,0.30379,0.8522,0.000241375,0.000241375,0.000241375
64,3653.41,0.36203,0.29479,0.7957,0.99651,0.99517,0.99481,0.85511,0.62943,0.30288,0.84936,0.000235188,0.000235188,0.000235188
65,3708.29,0.35257,0.28713,0.79628,0.99592,0.99704,0.99463,0.86445,0.60416,0.28989,0.84295,0.000229,0.000229,0.000229
66,3763.39,0.35538,0.28859,0.79662,0.99697,0.99532,0.99473,0.86801,0.59208,0.2899,0.84173,0.000222813,0.000222813,0.000222813
67,3822.1,0.35762,0.28896,0.79466,0.99572,0.99659,0.9949,0.85737,0.63158,0.29655,0.84846,0.000216625,0.000216625,0.000216625
68,3876.83,0.36175,0.28974,0.79548,0.99607,0.99516,0.99499,0.86443,0.60995,0.29477,0.84469,0.000210437,0.000210437,0.000210437
69,3936.25,0.35809,0.28809,0.79524,0.99787,0.9952,0.99497,0.85894,0.61889,0.29704,0.84581,0.00020425,0.00020425,0.00020425
70,3990.01,0.36148,0.29124,0.79678,0.99744,0.99571,0.99479,0.85624,0.63414,0.29543,0.85062,0.000198063,0.000198063,0.000198063
71,4046.67,0.35637,0.28821,0.79628,0.9966,0.99542,0.995,0.85978,0.62958,0.2917,0.85014,0.000191875,0.000191875,0.000191875
72,4106.12,0.35177,0.28418,0.79546,0.99845,0.99596,0.99499,0.86586,0.60354,0.28842,0.84559,0.000185688,0.000185688,0.000185688
73,4159.78,0.35395,0.28349,0.79598,0.99453,0.99598,0.99483,0.86001,0.62964,0.29079,0.8489,0.0001795,0.0001795,0.0001795
74,4218.48,0.34784,0.2805,0.79486,0.99692,0.99548,0.99499,0.86879,0.59735,0.28485,0.84218,0.000173313,0.000173313,0.000173313
75,4272.29,0.35432,0.28405,0.79504,0.99551,0.99753,0.99488,0.87077,0.59298,0.28659,0.84232,0.000167125,0.000167125,0.000167125
76,4329.01,0.35507,0.28169,0.79515,0.99779,0.99677,0.99498,0.85475,0.6413,0.29253,0.85393,0.000160938,0.000160938,0.000160938
77,4385.88,0.35208,0.27856,0.79398,0.99853,0.99623,0.99498,0.86055,0.62127,0.28945,0.8461,0.00015475,0.00015475,0.00015475
78,4443.69,0.35336,0.28078,0.79499,0.99729,0.99714,0.99482,0.86531,0.60847,0.2884,0.84397,0.000148563,0.000148563,0.000148563
79,4498.19,0.35096,0.2799,0.79479,0.99821,0.99776,0.99481,0.86677,0.60251,0.28404,0.84241,0.000142375,0.000142375,0.000142375
80,4554.43,0.34673,0.27878,0.79514,0.99577,0.99752,0.99499,0.86918,0.59566,0.28177,0.84095,0.000136187,0.000136187,0.000136187
81,4610.87,0.35328,0.28106,0.79605,0.99509,0.99756,0.99498,0.86368,0.62591,0.28918,0.84924,0.00013,0.00013,0.00013
82,4668.07,0.35105,0.27865,0.79488,0.99696,0.99764,0.9949,0.86352,0.62038,0.28759,0.84621,0.000123812,0.000123812,0.000123812
83,4723.77,0.34522,0.27449,0.79385,0.99774,0.99724,0.99496,0.85876,0.63706,0.291,0.84972,0.000117625,0.000117625,0.000117625
84,4779.46,0.34854,0.27469,0.7928,0.99822,0.99672,0.99491,0.8657,0.61363,0.28393,0.84537,0.000111438,0.000111438,0.000111438
85,4836.86,0.345,0.27155,0.79471,0.99733,0.99682,0.99488,0.86136,0.61466,0.28675,0.8471,0.00010525,0.00010525,0.00010525
86,4894.56,0.35502,0.27741,0.79383,0.99671,0.99664,0.99499,0.86104,0.61907,0.28739,0.84675,9.90625e-05,9.90625e-05,9.90625e-05
87,4951.69,0.34756,0.27397,0.79396,0.99699,0.99765,0.99498,0.86007,0.6386,0.29282,0.85205,9.2875e-05,9.2875e-05,9.2875e-05
